1  11.395	2.245620e+00	1.162824e-01	1.042484e+00	7.511276e-02	2.341432e-09	2.105180e-09	6.055553e-14	4.593120e-09	1.468688e-13	
1  6.21337	2.245262e+00	1.164160e-01	1.042483e+00	7.561437e-02	2.336646e-09	2.106944e-09	2.970934e-13	4.706959e-09	7.454681e-13	
2  6.99303	2.240217e+00	1.164409e-01	1.042491e+00	7.560886e-02	2.335088e-09	2.108455e-09	2.337900e-13	4.507254e-09	7.884384e-13	
1  8.63992	2.240967e+00	1.163600e-01	1.042530e+00	7.521552e-02	2.341268e-09	2.110322e-09	3.172261e-13	4.485127e-09	8.203419e-13	
1  7.03509	2.241718e+00	1.160010e-01	1.042546e+00	7.669759e-02	2.343779e-09	2.115782e-09	3.760808e-13	4.443004e-09	1.452688e-12	
1  4.95296	2.242787e+00	1.157948e-01	1.042558e+00	7.795957e-02	2.349491e-09	2.119188e-09	3.351358e-13	4.448501e-09	2.217975e-12	
1  3.81327	2.243225e+00	1.158210e-01	1.042567e+00	7.795416e-02	2.332562e-09	2.118353e-09	5.047124e-13	4.513693e-09	2.819291e-12	
1  4.19289	2.243413e+00	1.158731e-01	1.042574e+00	7.815799e-02	2.333536e-09	2.118249e-09	4.724889e-13	4.538178e-09	3.157338e-12	
1  2.83197	2.245765e+00	1.160118e-01	1.042572e+00	7.831940e-02	2.336327e-09	2.120390e-09	6.097716e-13	4.516869e-09	2.916370e-12	
2  4.28056	2.247372e+00	1.157013e-01	1.042571e+00	7.929018e-02	2.340868e-09	2.123005e-09	5.722809e-13	4.519785e-09	2.806332e-12	
1  5.2315	2.246328e+00	1.158781e-01	1.042571e+00	7.902539e-02	2.344961e-09	2.123930e-09	6.834894e-13	4.423444e-09	2.901578e-12	
2  5.57905	2.246002e+00	1.157956e-01	1.042558e+00	7.973153e-02	2.340600e-09	2.126691e-09	7.118684e-13	4.451480e-09	2.576913e-12	
3  6.10562	2.245758e+00	1.160553e-01	1.042533e+00	7.880400e-02	2.343613e-09	2.121449e-09	5.426820e-13	4.468174e-09	1.866308e-12	
1  6.43988	2.245851e+00	1.163442e-01	1.042511e+00	7.715755e-02	2.340614e-09	2.114701e-09	5.749639e-13	4.554779e-09	1.544841e-12	
1  7.1349	2.245752e+00	1.165849e-01	1.042506e+00	7.680560e-02	2.338166e-09	2.113986e-09	5.420935e-13	4.541353e-09	1.094809e-12	
2  5.60176	2.246181e+00	1.168232e-01	1.042490e+00	7.686207e-02	2.339677e-09	2.115327e-09	7.002398e-13	4.587594e-09	1.451805e-12	
8  5.37768	2.246340e+00	1.168908e-01	1.042510e+00	7.623457e-02	2.345204e-09	2.114257e-09	7.696050e-13	4.576697e-09	1.939162e-12	
2  5.87244	2.250924e+00	1.168463e-01	1.042527e+00	7.666257e-02	2.346086e-09	2.114420e-09	8.732007e-13	4.637347e-09	2.520961e-12	
4  7.00682	2.248079e+00	1.168503e-01	1.042545e+00	7.617049e-02	2.339654e-09	2.114525e-09	1.059365e-12	4.650000e-09	3.053324e-12	
2  5.90561	2.249831e+00	1.165629e-01	1.042590e+00	7.754690e-02	2.333927e-09	2.118248e-09	1.067600e-12	4.621218e-09	3.686934e-12	
1  6.16695	2.249620e+00	1.161087e-01	1.042604e+00	7.853715e-02	2.329992e-09	2.122116e-09	1.080864e-12	4.586974e-09	3.608328e-12	
2  6.33875	2.249953e+00	1.162223e-01	1.042592e+00	7.850417e-02	2.338093e-09	2.120469e-09	1.039705e-12	4.714246e-09	3.082537e-12	
1  6.50032	2.250177e+00	1.163858e-01	1.042564e+00	7.744085e-02	2.334464e-09	2.115387e-09	1.078641e-12	4.700169e-09	2.924957e-12	
3  5.26886	2.248313e+00	1.160068e-01	1.042562e+00	7.851134e-02	2.326576e-09	2.120057e-09	1.163584e-12	4.717801e-09	3.555775e-12	
1  5.31215	2.250940e+00	1.160659e-01	1.042550e+00	7.871032e-02	2.326163e-09	2.120486e-09	1.077698e-12	4.713055e-09	3.630047e-12	
5  5.77484	2.250632e+00	1.159727e-01	1.042510e+00	7.908517e-02	2.320469e-09	2.121640e-09	1.152776e-12	4.730417e-09	3.797888e-12	
1  6.14414	2.248404e+00	1.161104e-01	1.042507e+00	7.741072e-02	2.323140e-09	2.116882e-09	1.132477e-12	4.710898e-09	4.421360e-12	
1  6.67252	2.248170e+00	1.159797e-01	1.042502e+00	7.703505e-02	2.332258e-09	2.115524e-09	1.054909e-12	4.761986e-09	4.325385e-12	
1  6.87152	2.248330e+00	1.157594e-01	1.042541e+00	7.691480e-02	2.342715e-09	2.116155e-09	7.350176e-13	4.685278e-09	3.340017e-12	
1  5.5552	2.248982e+00	1.159901e-01	1.042515e+00	7.594731e-02	2.341355e-09	2.110020e-09	6.311899e-13	4.682967e-09	3.875632e-12	
1  3.47987	2.249539e+00	1.160845e-01	1.042522e+00	7.521664e-02	2.343770e-09	2.106998e-09	5.280325e-13	4.637030e-09	3.100345e-12	
3  3.31485	2.247485e+00	1.159501e-01	1.042539e+00	7.564940e-02	2.345092e-09	2.108841e-09	4.366686e-13	4.645189e-09	2.897396e-12	
1  2.96685	2.242491e+00	1.160713e-01	1.042541e+00	7.478751e-02	2.329767e-09	2.105015e-09	2.888459e-13	4.658735e-09	2.672889e-12	
1  3.52115	2.241041e+00	1.161867e-01	1.042512e+00	7.526747e-02	2.318020e-09	2.106295e-09	4.967486e-13	4.733954e-09	2.883411e-12	
3  2.96524	2.240763e+00	1.162206e-01	1.042504e+00	7.607917e-02	2.319937e-09	2.109216e-09	4.441241e-13	4.762728e-09	2.518333e-12	
5  1.94961	2.243615e+00	1.161942e-01	1.042531e+00	7.637250e-02	2.331860e-09	2.110404e-09	4.133867e-13	4.745445e-09	2.418031e-12	
4  1.91223	2.240922e+00	1.160205e-01	1.042547e+00	7.743178e-02	2.324214e-09	2.115167e-09	2.702049e-13	4.628395e-09	1.749723e-12	
1  2.37816	2.241956e+00	1.157956e-01	1.042582e+00	7.805896e-02	2.320089e-09	2.118242e-09	4.108317e-13	4.617182e-09	2.367567e-12	
2  2.0277	2.240803e+00	1.157642e-01	1.042580e+00	7.817981e-02	2.323622e-09	2.119150e-09	2.859368e-13	4.586284e-09	2.029772e-12	
3  2.45936	2.241311e+00	1.160895e-01	1.042569e+00	7.813496e-02	2.330690e-09	2.120025e-09	3.162007e-13	4.573327e-09	1.707650e-12	
1  2.55707	2.241210e+00	1.161238e-01	1.042575e+00	7.822646e-02	2.334463e-09	2.121153e-09	2.565700e-13	4.587483e-09	1.616659e-12	
2  3.0329	2.244153e+00	1.159204e-01	1.042588e+00	7.910322e-02	2.332385e-09	2.123298e-09	3.466955e-13	4.637249e-09	1.715646e-12	
1  2.20264	2.243457e+00	1.159385e-01	1.042563e+00	7.862910e-02	2.331793e-09	2.122015e-09	4.363518e-13	4.678355e-09	2.448166e-12	
1  2.09041	2.243257e+00	1.158870e-01	1.042620e+00	7.826706e-02	2.330054e-09	2.120476e-09	3.877556e-13	4.660887e-09	2.825073e-12	
