9  2.34398	2.224336e+00	1.199359e-01	1.041813e+00	6.936835e-02	2.409570e-09	2.108248e-09	5.319621e-11	1.362761e-09	-3.275556e-11	
5  3.88898	2.223549e+00	1.212673e-01	1.042045e+00	6.833844e-02	2.431430e-09	2.107311e-09	7.257599e-11	1.098187e-09	-6.035996e-11	
2  3.18405	2.230260e+00	1.214928e-01	1.041280e+00	6.328219e-02	2.442484e-09	2.085770e-09	1.366725e-10	5.072744e-10	-9.960510e-11	
5  5.01912	2.239627e+00	1.206232e-01	1.041710e+00	6.203776e-02	2.367500e-09	2.077106e-09	1.791508e-10	2.074243e-10	-1.006123e-10	
11  5.03077	2.245635e+00	1.197174e-01	1.042264e+00	6.557337e-02	2.356643e-09	2.089405e-09	1.693060e-10	8.078472e-10	-7.350675e-11	
3  4.51656	2.241498e+00	1.178476e-01	1.042005e+00	6.625468e-02	2.298982e-09	2.085850e-09	9.557925e-11	7.282127e-10	3.011014e-11	
16  2.37632	2.244703e+00	1.182200e-01	1.041543e+00	7.234182e-02	2.370014e-09	2.115541e-09	1.138234e-10	4.934135e-10	-7.852028e-11	
13  4.00359	2.247515e+00	1.195936e-01	1.041952e+00	6.901712e-02	2.350193e-09	2.104031e-09	9.042053e-11	4.634131e-10	-1.570537e-11	
11  4.44925	2.228271e+00	1.212195e-01	1.041874e+00	6.989454e-02	2.383667e-09	2.115699e-09	7.427187e-11	9.743670e-10	2.835761e-12	
19  2.94331	2.221608e+00	1.203983e-01	1.042071e+00	6.918901e-02	2.364012e-09	2.109808e-09	8.840863e-11	2.086625e-10	-6.399916e-12	
5  1.94431	2.217124e+00	1.199158e-01	1.041314e+00	6.601310e-02	2.373391e-09	2.094189e-09	6.292253e-11	5.183274e-10	-1.825451e-11	
9  2.80999	2.223532e+00	1.186030e-01	1.041523e+00	6.607355e-02	2.321015e-09	2.090804e-09	9.518520e-11	1.211061e-09	-2.101425e-11	
12  2.97842	2.220093e+00	1.199621e-01	1.041821e+00	6.468198e-02	2.325273e-09	2.087706e-09	9.928832e-11	7.377702e-10	1.207103e-11	
1  4.23188	2.200405e+00	1.222339e-01	1.042073e+00	6.303645e-02	2.363977e-09	2.087066e-09	1.040647e-10	8.590962e-10	2.110556e-12	
3  7.95178	2.196627e+00	1.239829e-01	1.042099e+00	6.201162e-02	2.412976e-09	2.088746e-09	1.717982e-10	8.077749e-10	-5.335088e-11	
2  5.10902	2.199092e+00	1.223436e-01	1.041571e+00	6.875036e-02	2.412329e-09	2.108207e-09	9.635701e-11	4.751743e-10	3.140018e-11	
9  2.91929	2.211637e+00	1.205426e-01	1.041521e+00	6.703538e-02	2.376961e-09	2.097971e-09	1.348441e-10	7.988124e-10	-1.594267e-11	
15  2.1235	2.215676e+00	1.215965e-01	1.041713e+00	6.853607e-02	2.427271e-09	2.109719e-09	6.611885e-11	4.084369e-10	-1.052153e-11	
18  2.88647	2.201004e+00	1.219452e-01	1.041566e+00	6.570962e-02	2.431100e-09	2.100651e-09	6.183883e-12	4.712710e-10	-7.320003e-13	
10  2.85313	2.216460e+00	1.223931e-01	1.041483e+00	6.889137e-02	2.450138e-09	2.109261e-09	5.973346e-11	1.209603e-09	-2.767362e-11	
13  1.69356	2.218753e+00	1.190770e-01	1.042391e+00	7.084333e-02	2.382347e-09	2.114409e-09	3.665640e-11	6.974948e-10	-1.887394e-11	
9  2.11582	2.191923e+00	1.196073e-01	1.042524e+00	7.010856e-02	2.368358e-09	2.112609e-09	2.312452e-11	1.084572e-10	3.302691e-11	
19  3.49975	2.219623e+00	1.209325e-01	1.042530e+00	6.979567e-02	2.449700e-09	2.113487e-09	4.797917e-11	1.781195e-10	-3.801759e-11	
5  3.53592	2.224864e+00	1.195383e-01	1.042016e+00	7.578368e-02	2.437749e-09	2.130139e-09	5.170622e-11	8.498599e-10	-1.877690e-11	
43  2.5445	2.220528e+00	1.201667e-01	1.041870e+00	6.829946e-02	2.440288e-09	2.097591e-09	8.934399e-12	1.492476e-09	-1.566489e-11	
6  4.00728	2.222449e+00	1.184558e-01	1.041979e+00	7.027474e-02	2.428420e-09	2.107377e-09	1.195913e-10	5.466063e-10	-9.083756e-11	
1  3.74512	2.217478e+00	1.166303e-01	1.042190e+00	6.869400e-02	2.330338e-09	2.096721e-09	2.333445e-10	1.722794e-10	-4.508022e-11	
3  3.22398	2.219983e+00	1.157930e-01	1.041836e+00	6.889167e-02	2.346727e-09	2.093899e-09	1.202724e-10	1.818153e-10	-1.582344e-11	
1  1.82011	2.229413e+00	1.178570e-01	1.042146e+00	7.080743e-02	2.410128e-09	2.108115e-09	4.699082e-11	2.598790e-10	-3.753707e-11	
1  1.5199	2.206122e+00	1.204119e-01	1.041378e+00	6.683757e-02	2.419388e-09	2.095675e-09	5.670682e-11	3.495565e-10	-4.941169e-11	
12  2.32093	2.196797e+00	1.178577e-01	1.042310e+00	6.706633e-02	2.340898e-09	2.096207e-09	1.179801e-10	1.455402e-11	-3.992913e-11	
8  2.7735	2.204468e+00	1.156580e-01	1.042459e+00	6.848218e-02	2.278660e-09	2.096941e-09	4.691868e-11	7.898929e-10	-2.940421e-12	
11  5.10941	2.199936e+00	1.155526e-01	1.041889e+00	6.816729e-02	2.293591e-09	2.088020e-09	3.442862e-11	1.999292e-09	-6.775239e-12	
5  5.04968	2.208068e+00	1.154175e-01	1.041341e+00	7.086915e-02	2.293152e-09	2.098603e-09	1.718147e-11	2.166686e-09	-1.126870e-13	
